side,row,col,char
LEFT,21,18,I
LEFT,21,19,E
LEFT,21,20,R
LEFT,21,21,O
LEFT,21,22,A
LEFT,21,23,G
LEFT,21,24,R
LEFT,21,25,I
LEFT,21,26,E
LEFT,21,27,W
LEFT,21,28,F
LEFT,21,29,E
LEFT,21,30,B
LEFT,22,0,A
LEFT,22,1,E
LEFT,22,2,C
LEFT,22,3,T
LEFT,22,4,D
LEFT,22,5,D
LEFT,22,6,H
LEFT,22,7,I
LEFT,22,8,L
LEFT,22,9,C
LEFT,22,10,E
LEFT,22,11,I
LEFT,22,12,H
LEFT,22,13,S
LEFT,22,14,I
LEFT,22,15,T
LEFT,22,16,E
LEFT,22,17,G
LEFT,22,18,O
LEFT,22,19,E
LEFT,22,20,A
LEFT,22,21,O
LEFT,22,22,S
LEFT,22,23,D
LEFT,22,24,D
LEFT,22,25,R
LEFT,22,26,Y
LEFT,22,27,D
LEFT,22,28,L
LEFT,22,29,O
LEFT,22,30,R
LEFT,22,31,I
LEFT,22,32,T
LEFT,23,0,R
LEFT,23,1,K
LEFT,23,2,L
LEFT,23,3,M
LEFT,23,4,L
LEFT,23,5,E
LEFT,23,6,H
LEFT,23,7,A
LEFT,23,8,G
LEFT,23,9,T
LEFT,23,10,D
LEFT,23,11,H
LEFT,23,12,A
LEFT,23,13,R
LEFT,23,14,D
LEFT,23,15,P
LEFT,23,16,N
LEFT,23,17,E
LEFT,23,18,O
LEFT,23,19,H
LEFT,23,20,M
LEFT,23,21,G
LEFT,23,22,F
LEFT,23,23,M
LEFT,23,24,F
LEFT,23,25,E
LEFT,23,26,U
LEFT,23,27,H
LEFT,23,28,E
LEFT,24,0,E
LEFT,24,1,C
LEFT,24,2,D
LEFT,24,3,M
LEFT,24,4,R
LEFT,24,5,I
LEFT,24,6,P
LEFT,24,7,F
LEFT,24,8,E
LEFT,24,9,I
LEFT,24,10,M
LEFT,24,11,E
LEFT,24,12,H
LEFT,24,13,N
LEFT,24,14,L
LEFT,24,15,S
LEFT,24,16,S
LEFT,24,17,T
LEFT,24,18,T
LEFT,24,19,R
LEFT,24,20,T
LEFT,24,21,V
LEFT,24,22,D
LEFT,24,23,O
LEFT,24,24,H
LEFT,24,25,W
LEFT,24,26,?
LEFT,24,27,O
LEFT,24,28,B
LEFT,24,29,K
LEFT,24,30,R
LEFT,25,0,U
LEFT,25,1,O
LEFT,25,2,X
LEFT,25,3,O
LEFT,25,4,G
LEFT,25,5,H
LEFT,25,6,U
LEFT,25,7,L
LEFT,25,8,B
LEFT,25,9,S
LEFT,25,10,O
LEFT,25,11,L
LEFT,25,12,I
LEFT,25,13,F
LEFT,25,14,B
LEFT,25,15,B
LEFT,25,16,W
LEFT,25,17,F
LEFT,25,18,L
LEFT,25,19,R
LEFT,25,20,V
LEFT,25,21,Q
LEFT,25,22,Q
LEFT,25,23,P
LEFT,25,24,R
LEFT,25,25,N
LEFT,25,26,G
LEFT,25,27,K
LEFT,25,28,S
LEFT,25,29,S
LEFT,25,30,O
LEFT,26,0,T
LEFT,26,1,W
LEFT,26,2,T
LEFT,26,3,Q
LEFT,26,4,S
LEFT,26,5,J
LEFT,26,6,Q
LEFT,26,7,S
LEFT,26,8,S
LEFT,26,9,E
LEFT,26,10,K
LEFT,26,11,Z
LEFT,26,12,Z
LEFT,26,13,W
LEFT,26,14,A
LEFT,26,15,T
LEFT,26,16,J
LEFT,26,17,K
LEFT,26,18,L
LEFT,26,19,U
LEFT,26,20,D
LEFT,26,21,I
LEFT,26,22,A
LEFT,26,23,W
LEFT,26,24,I
LEFT,26,25,N
LEFT,26,26,F
LEFT,26,27,B
LEFT,26,28,N
LEFT,26,29,Y
LEFT,26,30,P
LEFT,27,0,V
LEFT,27,1,T
LEFT,27,2,T
LEFT,27,3,M
LEFT,27,4,Z
LEFT,27,5,F
LEFT,27,6,P
LEFT,27,7,K
LEFT,27,8,W
LEFT,27,9,G
LEFT,27,10,D
LEFT,27,11,K
LEFT,27,12,Z
LEFT,27,13,X
LEFT,27,14,T
LEFT,27,15,J
LEFT,27,16,C
LEFT,27,17,D
LEFT,27,18,I
LEFT,27,19,G
LEFT,27,20,K
LEFT,27,21,U
LEFT,27,22,H
LEFT,27,23,U
LEFT,27,24,A
LEFT,27,25,U
LEFT,27,26,E
LEFT,27,27,K
LEFT,27,28,C
LEFT,27,29,A
LEFT,27,30,R
RIGHT,0,0,A
RIGHT,0,1,B
RIGHT,0,2,C
