label,seed_u64,weights_sha256,route_id,t2_sha256,classing,encrypts_to_ct,plaintext_97,pt_sha256,coverage,f_words,has_verb,delta_windowed,delta_shuffled,leakage_diff,notes
HEAD_102_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_103_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_104_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_105_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_106_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_107_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_108_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_109_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_110_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_111_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_112_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_113_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_114_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_115_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_116_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_117_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_118_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_119_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_120_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_121_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_122_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_123_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_124_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_125_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_126_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_127_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_128_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_129_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_130_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_131_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_132_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_133_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_134_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_135_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_136_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_137_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_138_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_139_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_140_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_141_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_142_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_143_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_144_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_145_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_146_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_147_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,GRID_W14_ROWS,57cc7cfef3723001ed0ac449d2f70f56d1da5aca7d1875161c7c780cc7d74433,c6a,true,ONTHENREADTHETHISANDAEASTNORTHEASTTHERETHEWOULDASOURTHISYOURWHEBERLINCLOCKRETHATBETHEMTHEFOLLOWWI,1aecc5862195146cf094ef2278b41a031da42feb5d400b9603273dbd8f0032fc,,,,,,0.000,
HEAD_148_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_149_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_150_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_151_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_152_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_153_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_154_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_155_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_156_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_157_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_158_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_159_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_160_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_161_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_162_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_163_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_164_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_165_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_166_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_167_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_168_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_169_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_170_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_171_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_172_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_173_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_174_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_175_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_176_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_177_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_178_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
