index,x_model,y_model,z_model,x_real_m,y_real_m,z_real_m,arclength_model,arclength_real_m,segment
33,-32.398956,-35.500000,77.360970,-0.962087,-1.054172,2.297234,173.160299,5.141995,pool_arc
34,-29.728924,-35.000000,78.120850,-0.882800,-1.039325,2.319799,175.981024,5.225757,pool_arc
35,-31.482805,-34.500000,82.065048,-0.934882,-1.024477,2.436922,180.326459,5.354794,pool_arc
36,-31.131273,-34.000000,78.302887,-0.924443,-1.009630,2.325204,184.137945,5.467976,pool_arc
37,-30.712971,-33.500000,72.759193,-0.912022,-0.994783,2.160584,189.719837,5.633731,pool_arc
38,-30.332266,-33.000000,78.541313,-0.900717,-0.979935,2.332284,195.536008,5.806442,pool_arc
39,-27.816963,-32.500000,77.920845,-0.826025,-0.965087,2.313859,198.174517,5.884792,pool_arc
40,-29.585188,-32.000000,76.348152,-0.878532,-0.950240,2.267158,200.593190,5.956615,pool_arc
41,-29.247120,-31.500000,74.893166,-0.868493,-0.935392,2.223953,202.168397,6.003391,pool_arc
42,-27.709042,-31.000000,69.228394,-0.822820,-0.920545,2.055737,208.059520,6.178327,pool_arc
43,-26.487419,-30.500000,66.323097,-0.786544,-0.905697,1.969464,211.250618,6.273087,pool_arc
44,-28.234419,-30.000000,75.898254,-0.838421,-0.890850,2.253799,220.996675,6.562496,pool_arc
45,-27.927504,-29.500000,74.438881,-0.829307,-0.876003,2.210463,222.569561,6.609203,pool_arc
46,-25.569574,-29.000000,78.880432,-0.759289,-0.861155,2.342354,227.622996,6.759265,pool_arc
47,-27.323402,-28.500000,79.680656,-0.811368,-0.846307,2.366117,229.614546,6.818404,pool_arc
48,-27.047310,-28.000000,76.348366,-0.803170,-0.831460,2.267165,232.995432,6.918799,pool_arc
49,-26.762863,-27.500000,82.461922,-0.794723,-0.816612,2.448707,239.135991,7.101143,pool_arc
50,-24.457228,-27.000000,74.858177,-0.726257,-0.801765,2.222914,247.097328,7.337555,away_arc
51,-26.217564,-26.500000,79.219604,-0.778531,-0.786917,2.352426,251.827110,7.478006,pool_arc
52,-25.989695,-26.000000,84.427757,-0.771764,-0.772070,2.507082,257.064168,7.633520,pool_arc
53,-25.736214,-25.500000,86.294930,-0.764237,-0.757223,2.562528,259.013677,7.691411,pool_arc
54,-25.520399,-25.000000,87.352051,-0.757828,-0.742375,2.593919,260.202828,7.726723,pool_arc
55,-23.295788,-24.500000,82.065094,-0.691768,-0.727527,2.436923,265.960502,7.897697,away_arc
56,-25.082569,-24.000000,79.415352,-0.744827,-0.712680,2.358239,269.195270,7.993754,pool_arc
57,-22.876972,-23.500000,83.180161,-0.679332,-0.697832,2.470035,273.587130,8.124170,away_arc
58,-24.634373,-23.000000,69.991409,-0.731518,-0.682985,2.078395,286.901845,8.519550,away_arc
59,-24.429766,-22.500000,74.493195,-0.725442,-0.668137,2.212075,291.435931,8.654190,away_arc
60,-24.249958,-22.000000,77.721146,-0.720103,-0.653290,2.307929,294.707322,8.751334,away_arc
61,-24.043184,-21.500000,83.397354,-0.713962,-0.638443,2.476484,300.409260,8.920653,away_arc
62,-21.922525,-21.000000,77.361107,-0.650989,-0.623595,2.297238,306.826695,9.111219,away_arc
63,-21.755150,-20.500000,73.013199,-0.646019,-0.608747,2.168127,311.206457,9.241276,away_arc
64,-23.547371,-20.000000,73.995827,-0.699239,-0.593900,2.197306,313.310647,9.303760,away_arc
