config,weights,candidate,score,delta_windowed,delta_shuffled,pass_deltas,ngram_contrib,coverage_contrib,compress_contrib
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0038,2.8659897932937786,0.00911753293297668,3.35730509195581,False,1.0387581751578905,1.8753859593701958,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0043,2.8659897932937786,0.00911753293297668,3.677838807601203,False,1.0387581751578905,1.8753859593701958,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0050,2.8659897932937786,0.00911753293297668,3.6239495046298194,False,1.0387581751578905,1.8753859593701958,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0053,3.261811832245651,0.00911753293297668,4.073660846553076,False,1.1195921296149665,2.1903740438649923,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0006,3.2147720043517802,0.00911753293297668,3.9770794403117673,False,1.1005512425650774,2.1623751030210108,-0.0481543412343077
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0002,2.5297104298242417,0.00911753293297668,3.0168866149086835,False,1.6109487796487916,0.9789545767183345,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0008,2.8061019104353755,0.00911753293297668,3.2932780955198173,False,1.730583032245264,1.1357118047329962,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0019,2.6182908740737854,0.00911753293297668,2.786966789417145,False,1.8244138185954382,0.8540699820212319,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0033,2.24313825607244,0.00911753293297668,1.867862135302319,False,1.5605147319855728,0.7428164506297519,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0027,2.714382289812061,0.00911753293297668,3.222395088646984,False,1.6793881944224494,1.0951870219324962,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0038,2.4356373158790494,0.00911753293297668,2.7564386054055836,False,1.5581372627368357,0.9376929796850979,-0.06019292654288461
