label,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas,z_ngram,z_coverage,z_compress,penalties
H0477,40,2.595423371212372,2.595423371212372,-0.7639374251420081,0.0,3.3593607963543803,False,3.7868373569081344,2.546704458867748,0.0,0.0
H0580,40,1.930039511838734,1.930039511838734,0.8984517129376771,0.0,1.031587798901057,False,1.493230570067551,3.594530729452388,0.0,0.0
H0726,40,3.4782240929561277,3.4782240929561277,0.19902058854623328,0.0,3.279203504409894,False,4.9336407503284265,3.594530729452388,0.0,0.0
H0835,40,3.3750117875483014,3.3750117875483014,-0.9703620359576606,0.0,4.3453738235059625,False,4.704280071644368,3.594530729452388,0.0,0.0
H0876,40,2.6986356766201984,2.6986356766201984,-0.9703620359576606,0.0,3.668997712577859,False,4.016198035592193,2.546704458867748,0.0,0.0
H0915,40,3.088429884788163,3.088429884788163,0.7150821155853649,0.0,2.3733477692027978,False,4.4749193929603095,3.0706175941600673,0.0,0.0
H1046,40,2.8820052739725104,2.8820052739725104,-0.4543005089185292,0.0,3.3363057828910394,False,4.016198035592193,3.0706175941600673,0.0,0.0
H1074,40,3.008272592843677,3.008272592843677,1.12793133721667,0.0,1.8803412556270072,False,4.704280071644368,2.546704458867748,0.0,0.0
H1238,40,2.8018479820280247,2.8018479820280247,-0.31650568331569184,0.0,3.1183536653437165,False,4.2455587142762505,2.546704458867748,0.0,0.0
H1320,40,2.6986356766201984,2.6986356766201984,0.027178497925591745,0.0,2.671457178694607,False,4.016198035592193,2.546704458867748,0.0,0.0
H1338,40,3.1685871767326486,3.1685871767326486,-0.07603380748223465,0.0,3.244620984214883,False,4.2455587142762505,3.594530729452388,0.0,0.0
H1348,40,2.8820052739725104,2.8820052739725104,0.8984517129376771,0.0,1.9835535610348334,False,4.016198035592193,3.0706175941600673,0.0,0.0
H1367,40,2.6986356766201984,2.6986356766201984,-0.5805678277896961,0.0,3.2792035044098946,False,4.016198035592193,2.546704458867748,0.0,0.0
H1656,40,2.8820052739725104,2.8820052739725104,-0.3510882035107028,0.0,3.233093477483213,False,4.016198035592193,3.0706175941600673,0.0,0.0
H1748,40,1.930039511838734,1.930039511838734,-0.007404022269419247,0.0,1.937443534108153,False,1.493230570067551,3.594530729452388,0.0,0.0
H1975,40,2.079361844173241,2.079361844173241,-0.680567827789696,0.0,2.7599296719629374,False,2.6400339634878436,2.546704458867748,0.0,0.0
H2003,40,3.191642190195989,3.191642190195989,0.027178497925591745,0.0,3.1644636922703975,False,4.704280071644368,3.0706175941600673,0.0,0.0
H2021,40,1.930039511838734,1.930039511838734,-0.007404022269419247,0.0,1.937443534108153,False,1.493230570067551,3.594530729452388,0.0,0.0
H2106,40,2.492211065804546,2.492211065804546,2.5493133442856912,0.0,-0.05710227848114524,False,3.557476678224076,2.546704458867748,0.0,0.0
H2201,40,3.1685871767326486,3.1685871767326486,-0.2824584182978872,0.0,3.4510455950305357,False,4.2455587142762505,3.594530729452388,0.0,0.0
H2206,40,3.1685871767326486,3.1685871767326486,0.23360310874124438,0.0,2.934984067991404,False,4.2455587142762505,3.594530729452388,0.0,0.0
H2221,40,2.2857864549888935,2.2857864549888935,0.6804995953903543,0.0,1.6052868595985392,False,3.0987553208559597,2.546704458867748,0.0,0.0
H2240,40,1.930039511838734,1.930039511838734,-0.3510882035107028,0.0,2.2811277153494367,False,1.493230570067551,3.594530729452388,0.0,0.0
H2306,40,2.6755806631568575,2.6755806631568575,-0.3510882035107028,0.0,3.0266688666675603,False,3.557476678224076,3.0706175941600673,0.0,0.0
H2417,40,3.191642190195989,3.191642190195989,-0.7639374251420081,0.0,3.955579615337997,False,4.704280071644368,3.0706175941600673,0.0,0.0
H2645,40,2.962162565916996,2.962162565916996,-0.2824584182978872,0.0,3.244620984214883,False,3.7868373569081344,3.594530729452388,0.0,0.0
H2929,40,2.2857864549888935,2.2857864549888935,0.35933517243520496,0.0,1.9264512825536886,False,3.0987553208559597,2.546704458867748,0.0,0.0
H0064,41,2.583856699467736,2.583856699467736,-0.375699619135457,0.0,2.9595563186031932,False,3.423216768750481,2.98116901008577,0.0,0.0
H0072,41,2.203569667108746,2.203569667108746,-0.4763945512406535,0.0,2.6799642183493995,False,2.9756837371718308,2.4700342439469205,0.0,0.0
H0209,41,2.0623617720836736,2.0623617720836736,-0.375699619135457,0.0,2.4380613912191307,False,1.856851158225205,3.5050821453780894,0.0,0.0
H0361,41,3.0558285305028816,3.0558285305028816,-1.049061314380996,0.0,4.1048898448838775,False,3.870749800329132,3.7542603438707784,0.0,0.0
H0420,41,2.0623617720836736,2.0623617720836736,-0.375699619135457,0.0,2.4380613912191307,False,1.856851158225205,3.5050821453780894,0.0,0.0
H0509,41,2.203569667108746,2.203569667108746,-0.5303900767932851,0.0,2.733959743902031,False,2.9756837371718308,2.4700342439469205,0.0,0.0
H0516,41,2.6063493955295316,2.6063493955295316,0.7381310776543919,0.0,1.8682183178751397,False,3.870749800329132,2.4700342439469205,0.0,0.0
H0702,41,2.583856699467736,2.583856699467736,-0.27500468703026054,0.0,2.858861386497997,False,3.423216768750481,2.98116901008577,0.0,0.0
H0783,41,2.9641437318267254,2.9641437318267254,-0.44489172174981734,0.0,3.409035453576543,False,3.870749800329132,3.492303776224618,0.0,0.0
H0798,41,2.6063493955295316,2.6063493955295316,0.9710237713556203,0.0,1.6353256241739111,False,3.870749800329132,2.4700342439469205,0.0,0.0
H0981,41,3.064838663931922,3.064838663931922,-0.12761034837249943,0.0,3.1924490123044214,False,4.094516316118457,3.492303776224618,0.0,0.0
H0999,41,2.785246563678129,2.785246563678129,0.5457513468730393,0.0,2.2394952168050897,False,3.870749800329132,2.98116901008577,0.0,0.0
H1059,41,2.6063493955295316,2.6063493955295316,-0.7784793475562426,0.0,3.384828743085774,False,3.870749800329132,2.4700342439469205,0.0,0.0
H1192,41,2.908434191845121,2.908434191845121,-1.049061314380996,0.0,3.957495506226117,False,4.542049347697108,2.4700342439469205,0.0,0.0
H1214,41,2.9641437318267254,2.9641437318267254,-0.3380103460119329,0.0,3.3021540778386584,False,3.870749800329132,3.492303776224618,0.0,0.0
