index,orig_letter,mutant_letter,feasible,failure_reason,pt_sha256_mutant,families_json,L_json,phase_json,seed_u64,runtime_ms
85,N,U,False,incomplete_derivation,,[],[],[],15241822679462584227,19
85,N,W,False,incomplete_derivation,,[],[],[],16234786911316127041,18
85,N,Z,False,incomplete_derivation,,[],[],[],12672200597066943646,16
85,N,X,False,incomplete_derivation,,[],[],[],3312592075975716267,20
85,N,T,False,incomplete_derivation,,[],[],[],17281293719229012144,30
86,G,A,False,incomplete_derivation,,[],[],[],11032199919992902485,17
85,N,Y,False,incomplete_derivation,,[],[],[],3521618315589256046,24
86,G,C,False,incomplete_derivation,,[],[],[],15644991723104388851,18
86,G,B,False,incomplete_derivation,,[],[],[],12153268414877239739,24
86,G,F,False,incomplete_derivation,,[],[],[],11921474085561711877,14
86,G,E,False,incomplete_derivation,,[],[],[],17706929620914571551,18
86,G,D,False,incomplete_derivation,,[],[],[],14009621675672217971,21
86,G,I,False,incomplete_derivation,,[],[],[],3855490243573864401,14
86,G,H,False,incomplete_derivation,,[],[],[],5586944264843049251,21
86,G,L,False,incomplete_derivation,,[],[],[],6199755843765675061,13
86,G,J,False,incomplete_derivation,,[],[],[],5809028487165689409,21
86,G,M,False,incomplete_derivation,,[],[],[],12964965136579342829,14
86,G,K,False,incomplete_derivation,,[],[],[],6744849129007932396,20
86,G,O,False,incomplete_derivation,,[],[],[],14912719911562772374,15
86,G,P,False,incomplete_derivation,,[],[],[],9786007865876676904,17
86,G,N,False,incomplete_derivation,,[],[],[],6746306228100247980,26
86,G,Q,False,incomplete_derivation,,[],[],[],7603836994725395286,21
86,G,R,False,incomplete_derivation,,[],[],[],17026805908704644982,18
86,G,U,False,incomplete_derivation,,[],[],[],62169870197944580,18
86,G,S,False,incomplete_derivation,,[],[],[],10309983815631254768,20
86,G,T,False,incomplete_derivation,,[],[],[],9448811342673110937,19
86,G,W,False,incomplete_derivation,,[],[],[],14028742749520175415,13
86,G,V,False,incomplete_derivation,,[],[],[],15162108744042183394,23
87,L,A,False,incomplete_derivation,,[],[],[],10949140925658458957,13
87,L,B,False,incomplete_derivation,,[],[],[],1773687504650952599,14
86,G,Z,False,incomplete_derivation,,[],[],[],17339900343901916248,18
86,G,X,False,incomplete_derivation,,[],[],[],17600263514611478462,22
87,L,C,False,incomplete_derivation,,[],[],[],7510861250015146645,19
86,G,Y,False,incomplete_derivation,,[],[],[],4507851066143222371,24
87,L,D,False,incomplete_derivation,,[],[],[],16560641618661364681,19
87,L,E,False,incomplete_derivation,,[],[],[],17035092466858219654,18
87,L,G,False,incomplete_derivation,,[],[],[],397189689176655323,17
87,L,I,False,incomplete_derivation,,[],[],[],17277516307981996850,13
87,L,F,False,incomplete_derivation,,[],[],[],18066194288724318382,18
87,L,H,False,incomplete_derivation,,[],[],[],14319684835695620064,20
87,L,J,False,incomplete_derivation,,[],[],[],3009490206945875911,19
87,L,K,False,incomplete_derivation,,[],[],[],14811317422800812942,22
87,L,N,False,incomplete_derivation,,[],[],[],6948714170296411386,16
87,L,M,False,incomplete_derivation,,[],[],[],1712354299494386532,23
87,L,O,False,incomplete_derivation,,[],[],[],1009891872699531714,17
87,L,R,False,incomplete_derivation,,[],[],[],7536054719474508589,17
87,L,P,False,incomplete_derivation,,[],[],[],3216720800071801832,22
87,L,S,False,incomplete_derivation,,[],[],[],14503971953319803181,16
87,L,Q,False,incomplete_derivation,,[],[],[],1976632701378644980,23
87,L,T,False,incomplete_derivation,,[],[],[],7186655633464616076,15
87,L,W,False,incomplete_derivation,,[],[],[],11066298880562968752,13
87,L,V,False,incomplete_derivation,,[],[],[],3984026021079141952,18
87,L,U,False,incomplete_derivation,,[],[],[],12631054306642026657,26
87,L,Z,False,incomplete_derivation,,[],[],[],10135331346949580666,14
87,L,Y,False,incomplete_derivation,,[],[],[],3415448981879201001,17
87,L,X,False,incomplete_derivation,,[],[],[],8655662762936980717,19
88,E,B,False,incomplete_derivation,,[],[],[],12070197742374727001,15
88,E,A,False,incomplete_derivation,,[],[],[],1330505183290619025,17
88,E,C,False,incomplete_derivation,,[],[],[],201853600367177129,14
88,E,D,False,incomplete_derivation,,[],[],[],4238771803206103461,22
88,E,J,False,incomplete_derivation,,[],[],[],6680356399455474667,13
88,E,F,False,incomplete_derivation,,[],[],[],15354279753101310756,17
88,E,G,False,incomplete_derivation,,[],[],[],13743575064339827651,18
88,E,I,False,incomplete_derivation,,[],[],[],8624185925486268121,16
88,E,K,False,incomplete_derivation,,[],[],[],2102245176030242042,18
88,E,H,False,incomplete_derivation,,[],[],[],16531759383837958306,22
88,E,L,False,incomplete_derivation,,[],[],[],8734853175293783356,24
88,E,Q,False,incomplete_derivation,,[],[],[],14519030468946805446,14
88,E,P,False,incomplete_derivation,,[],[],[],17192913154689445578,15
88,E,M,False,incomplete_derivation,,[],[],[],6758734327135721316,18
88,E,N,False,incomplete_derivation,,[],[],[],13104605932223130346,18
88,E,S,False,incomplete_derivation,,[],[],[],17369573514796201070,13
88,E,R,False,incomplete_derivation,,[],[],[],9818428729447980715,19
88,E,O,False,incomplete_derivation,,[],[],[],231930941329687849,23
88,E,X,False,incomplete_derivation,,[],[],[],7944716579691723842,13
88,E,V,False,incomplete_derivation,,[],[],[],2251854932513491492,15
88,E,U,False,incomplete_derivation,,[],[],[],10614595025758527177,17
88,E,W,False,incomplete_derivation,,[],[],[],10390871533166552394,17
88,E,Z,False,incomplete_derivation,,[],[],[],9598419687891807178,15
89,I,A,False,incomplete_derivation,,[],[],[],15320128015089426927,14
88,E,T,False,incomplete_derivation,,[],[],[],434108080345465963,28
88,E,Y,False,incomplete_derivation,,[],[],[],984249262655186034,21
89,I,B,False,incomplete_derivation,,[],[],[],18313294969442133417,14
89,I,E,False,incomplete_derivation,,[],[],[],10008409816339599134,15
89,I,F,False,incomplete_derivation,,[],[],[],7364743315097186428,13
89,I,D,False,incomplete_derivation,,[],[],[],2464962453417928562,17
89,I,J,False,incomplete_derivation,,[],[],[],18347931588864127892,14
89,I,C,False,incomplete_derivation,,[],[],[],14984914191593982474,28
89,I,H,False,incomplete_derivation,,[],[],[],5315007968714966946,19
89,I,G,False,incomplete_derivation,,[],[],[],1555492033957188291,24
89,I,K,False,incomplete_derivation,,[],[],[],13200002526484087946,20
89,I,L,False,incomplete_derivation,,[],[],[],3212815639055605811,16
89,I,N,False,incomplete_derivation,,[],[],[],5830414770655734758,18
89,I,M,False,incomplete_derivation,,[],[],[],8141885861883235095,20
89,I,Q,False,incomplete_derivation,,[],[],[],14389327548529373993,13
89,I,R,False,incomplete_derivation,,[],[],[],1949385011294733737,12
89,I,P,False,incomplete_derivation,,[],[],[],1928923847107399413,16
89,I,T,False,incomplete_derivation,,[],[],[],15201311789888211282,14
89,I,O,False,incomplete_derivation,,[],[],[],12322317704666374066,24
89,I,X,False,incomplete_derivation,,[],[],[],13518634559261999860,12
89,I,V,False,incomplete_derivation,,[],[],[],14670764438150635501,18
89,I,Y,False,incomplete_derivation,,[],[],[],665994970602453593,14
89,I,S,False,incomplete_derivation,,[],[],[],15715325168899528122,26
89,I,U,False,incomplete_derivation,,[],[],[],11101693892914046978,22
89,I,W,False,incomplete_derivation,,[],[],[],857811584860082459,22
90,S,A,False,incomplete_derivation,,[],[],[],6190131806820618108,16
89,I,Z,False,incomplete_derivation,,[],[],[],6474765126239947384,21
90,S,B,False,incomplete_derivation,,[],[],[],7208468623124747197,12
90,S,C,False,incomplete_derivation,,[],[],[],10976959150918330907,20
90,S,G,False,incomplete_derivation,,[],[],[],10184499542540340038,14
90,S,D,False,incomplete_derivation,,[],[],[],993323386483728893,20
90,S,E,False,incomplete_derivation,,[],[],[],2840980907745913608,22
90,S,F,False,incomplete_derivation,,[],[],[],16886825049076369560,20
90,S,H,False,incomplete_derivation,,[],[],[],10538523227387562786,18
90,S,J,False,incomplete_derivation,,[],[],[],8242702217748012404,18
90,S,I,False,incomplete_derivation,,[],[],[],10029571291601336596,21
90,S,M,False,incomplete_derivation,,[],[],[],11861686388154191735,16
90,S,P,False,incomplete_derivation,,[],[],[],12782765296083308786,14
90,S,L,False,incomplete_derivation,,[],[],[],6682892009262943635,18
90,S,O,False,incomplete_derivation,,[],[],[],18365681776467615566,18
90,S,K,False,incomplete_derivation,,[],[],[],14019355438223340428,22
90,S,N,False,incomplete_derivation,,[],[],[],3096389339867650199,19
90,S,Q,False,incomplete_derivation,,[],[],[],15457999328386979196,17
90,S,R,False,incomplete_derivation,,[],[],[],7029275475172820870,16
90,S,T,False,incomplete_derivation,,[],[],[],8770188059047258966,16
90,S,X,False,incomplete_derivation,,[],[],[],9478471594422084746,15
90,S,V,False,incomplete_derivation,,[],[],[],7549195558770581143,18
90,S,U,False,incomplete_derivation,,[],[],[],310118437343382721,21
90,S,W,False,incomplete_derivation,,[],[],[],9003223120021840654,18
91,T,A,False,incomplete_derivation,,[],[],[],10144516423505618516,16
90,S,Z,False,incomplete_derivation,,[],[],[],2062428967203260839,18
90,S,Y,False,incomplete_derivation,,[],[],[],8097555269083868170,24
91,T,B,False,incomplete_derivation,,[],[],[],5427723945851900520,13
91,T,C,False,incomplete_derivation,,[],[],[],13513826322346369931,15
