label,category,mode,score_norm,anchor_score,z_ngram,z_coverage,z_compress
CORRIDOR_EAST_SHIFT-2_042,EAST,r2,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_042,EAST,r3,-0.0449803634846334,0.7777777777777778,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_042,EAST,r4,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_042,EAST,shuffled,-0.1616470301513001,0.0,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_043,EAST,fixed,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_043,EAST,r1,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_043,EAST,r2,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_043,EAST,r3,-0.02831369681796679,0.888888888888889,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_043,EAST,r4,-0.02414703015130014,0.9166666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_043,EAST,shuffled,-0.1616470301513001,0.0,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_044,EAST,fixed,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_044,EAST,r1,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_044,EAST,r2,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_044,EAST,r3,-0.02831369681796679,0.888888888888889,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_044,EAST,r4,-0.02414703015130014,0.9166666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_044,EAST,shuffled,-0.1616470301513001,0.0,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_045,EAST,fixed,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_045,EAST,r1,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_045,EAST,r2,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_045,EAST,r3,-0.02831369681796679,0.888888888888889,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_045,EAST,r4,-0.02414703015130014,0.9166666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-1_045,EAST,shuffled,-0.1616470301513001,0.0,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_046,EAST,fixed,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_046,EAST,r1,-0.1198023466794139,0.7333333333333334,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_046,EAST,r2,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_046,EAST,r3,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_046,EAST,r4,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_046,EAST,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_047,EAST,fixed,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_047,EAST,r1,-0.1198023466794139,0.7333333333333334,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_047,EAST,r2,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_047,EAST,r3,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_047,EAST,r4,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_047,EAST,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_048,EAST,fixed,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_048,EAST,r1,-0.1198023466794139,0.7333333333333334,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_048,EAST,r2,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_048,EAST,r3,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_048,EAST,r4,-0.12980234667941393,0.6666666666666666,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+1_048,EAST,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_049,EAST,fixed,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_049,EAST,r1,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_049,EAST,r2,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_049,EAST,r3,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_049,EAST,r4,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_049,EAST,shuffled,-0.17832341061105544,0.0,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_050,EAST,fixed,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_050,EAST,r1,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_050,EAST,r2,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_050,EAST,r3,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_050,EAST,r4,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_050,EAST,shuffled,-0.17832341061105544,0.0,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_051,EAST,fixed,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_051,EAST,r1,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_051,EAST,r2,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_051,EAST,r3,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_051,EAST,r4,-0.07832341061105545,0.6666666666666666,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_EAST_SHIFT+2_051,EAST,shuffled,-0.17832341061105544,0.0,-1.4094450483041243,1.8959389563546638,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_052,NORTHEAST,fixed,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_052,NORTHEAST,r1,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_052,NORTHEAST,r2,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_052,NORTHEAST,r3,-0.3633419223140816,0.4444444444444445,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_052,NORTHEAST,r4,-0.3550085889807483,0.5,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_052,NORTHEAST,shuffled,-0.43000858898074823,0.0,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_053,NORTHEAST,fixed,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_053,NORTHEAST,r1,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_053,NORTHEAST,r2,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_053,NORTHEAST,r3,-0.3633419223140816,0.4444444444444445,-1.6752989429629517,1.367735253261782,-0.12038585308576924
